service_id,date,exception_type
32132069341,20251230,1
32132069341,20251231,1
6015886401,20250827,1
6015886401,20250828,1
6015886401,20250829,1
6015886401,20250901,1
6015886401,20250902,1
6015886401,20250903,1
6015886401,20250904,1
6015886401,20250905,1
6015886401,20250909,1
6015886401,20250910,1
6015886401,20250911,1
6015886401,20250912,1
6015886401,20250915,1
6015886401,20250916,1
6015886401,20250917,1
6015886401,20250918,1
6015886401,20250919,1
6015886401,20250923,1
6015886401,20250924,1
6015886401,20250925,1
6015886401,20250926,1
6015886401,20250929,1
6015886401,20250930,1
6015886401,20251001,1
6015886401,20251002,1
6015886401,20251003,1
6015886401,20251006,1
6015886401,20251007,1
6015886401,20251008,1
6015886401,20251009,1
6015886401,20251010,1
6015886401,20251013,1
6015886401,20251014,1
6015886401,20251015,1
6015886401,20251016,1
6015886401,20251017,1
6015886401,20251020,1
6015886401,20251021,1
6015886401,20251022,1
6015886401,20251023,1
6015886401,20251024,1
6015886401,20251027,1
6015886401,20251028,1
6015886401,20251029,1
6015886401,20251030,1
6015886401,20251031,1
6015886401,20251103,1
6015886401,20251104,1
6015886401,20251105,1
6015886401,20251106,1
6015886401,20251107,1
6015886401,20251110,1
6015886401,20251111,1
6015886401,20251112,1
6015886401,20251113,1
6015886401,20251114,1
6015886401,20251117,1
6015886401,20251118,1
6015886401,20251119,1
6015886401,20251120,1
6015886401,20251121,1
6015886401,20251124,1
6015886401,20251125,1
6015886401,20251126,1
6015886401,20251127,1
6015886401,20251128,1
6015886401,20251201,1
6015886401,20251202,1
6015886401,20251203,1
6015886401,20251204,1
6015886401,20251205,1
6015886401,20251208,1
6015886401,20251209,1
6015886401,20251210,1
6015886401,20251211,1
6015886401,20251212,1
6015886401,20251215,1
6015886401,20251216,1
6015886401,20251217,1
6015886401,20251218,1
6015886401,20251219,1
6015886401,20251222,1
6015886401,20251223,1
6015886401,20251229,1
6015886401,20251230,1
6015886401,20251231,1
11838834080,20250920,1
11838834080,20250921,1
11838834080,20250922,1
11838834080,20250927,1
11838834080,20250928,1
11838834080,20251004,1
11838834080,20251005,1
11838834080,20251011,1
11838834080,20251012,1
11838834080,20251018,1
11838834080,20251019,1
11838834080,20251025,1
11838834080,20251026,1
11838834080,20251101,1
11838834080,20251102,1
11838834080,20251108,1
